64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
6 28 8 13 0.702552 5.90443 8.40426
6 28 9 14 0.415625 5.74879 13.8317
6 28 10 15 0.246752 4.83722 19.6035
6 28 11 16 0.179984 4.54131 25.2317
6 28 12 17 0.145835 4.39828 30.1593
6 28 13 18 0.124065 4.19744 33.8325
6 28 14 19 0.120208 4.30319 35.7978
6 28 15 20 0.122198 4.37443 35.7978
6 28 16 21 0.129989 4.39787 33.8325
6 28 17 22 0.154121 4.64819 30.1593
6 28 18 23 0.197328 4.97892 25.2317
6 28 19 24 0.267995 5.25365 19.6035
6 28 20 25 0.417141 5.76976 13.8317
6 28 21 26 0.825324 6.93624 8.40426
6 28 22 27 2.54253 9.41694 3.70377
6 62 9 21 0.476838 5.50364 11.542
6 62 10 22 0.296003 4.81153 16.255
6 62 11 23 0.212506 4.53507 21.3409
6 62 12 24 0.165106 4.41717 26.7536
6 62 13 25 0.130638 4.23783 32.4396
6 62 14 26 0.109621 4.20264 38.3381
6 62 15 27 0.0966384 4.28891 44.381
6 62 16 28 0.0829354 4.18767 50.4932
6 62 17 29 0.0734894 4.15901 56.5934
6 62 18 30 0.066474 4.16092 62.5948
6 62 19 31 0.0600332 4.10666 68.4065
6 62 20 32 0.0559498 4.13669 73.9358
6 62 21 33 0.052386 4.14317 79.0892
6 62 22 34 0.0494623 4.14374 83.7758
6 62 23 35 0.047224 4.15143 87.9092
6 62 24 36 0.0454461 4.15425 91.4105
6 62 25 37 0.0443775 4.18083 94.2106
6 62 26 38 0.0427402 4.11387 96.2531
6 62 27 39 0.0422714 4.12129 97.4958
6 62 28 40 0.0424476 4.15617 97.913
6 62 29 41 0.0426447 4.15768 97.4958
6 62 30 42 0.0435807 4.19478 96.2531
6 62 31 43 0.044255 4.16929 94.2106
6 62 32 44 0.0450361 4.11677 91.4105
6 62 33 45 0.0470102 4.13263 87.9092
6 62 34 46 0.0493162 4.1315 83.7758
6 62 35 47 0.0515606 4.07788 79.0892
6 62 36 48 0.0555514 4.10723 73.9358
6 62 37 49 0.0599377 4.10013 68.4065
6 62 38 50 0.0649052 4.06272 62.5948
6 62 39 51 0.0731324 4.13881 56.5934
6 62 40 52 0.0819587 4.13836 50.4932
6 62 41 53 0.0945948 4.19821 44.381
6 62 42 54 0.110777 4.24696 38.3381
6 62 43 55 0.13066 4.23856 32.4396
6 62 44 56 0.160027 4.2813 26.7536
6 62 45 57 0.214857 4.58526 21.3409
6 62 46 58 0.29905 4.86107 16.255
6 62 47 59 0.451471 5.21085 11.542
7 19 8 11 1.901 7.61666 4.00667
7 19 9 12 0.765002 7.0097 9.16298
7 19 10 13 0.398873 5.63893 14.1372
7 19 11 14 0.296957 5.1219 17.248
7 19 12 15 0.283146 4.88368 17.248
7 19 13 16 0.403961 5.71086 14.1372
7 19 14 17 0.737117 6.75419 9.16298
7 19 15 18 2.42301 9.7082 4.00667
7 29 8 13 2.01652 7.46873 3.70377
7 29 9 14 0.815945 6.85742 8.40426
7 29 10 15 0.393822 5.44722 13.8317
7 29 11 16 0.251555 4.93136 19.6035
7 29 12 17 0.18566 4.68452 25.2317
7 29 13 18 0.144732 4.365 30.1593
7 29 14 19 0.12962 4.38536 33.8325
7 29 15 20 0.124067 4.4413 35.7978
7 29 16 21 0.122156 4.37291 35.7978
7 29 17 22 0.133761 4.52548 33.8325
7 29 18 23 0.157695 4.75598 30.1593
7 29 19 24 0.194909 4.91787 25.2317
7 29 20 25 0.270974 5.31205 19.6035
