,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
759,760,16,28,24,27,2.36047392,4.00666889153481,9.457637424543227,,1.535098,220.0,0.027138332536424385,220,20191230,1134.0,1.0,2.36055443,0.00682127884677407,2.36055443,0.00682127884677407,True,True,True,True,True,True,True
760,761,16,38,17,22,2.38837856,3.7037723916006,8.846010571218796,,1.832076,182.0,0.1066713389619208,182,20191230,800.0,1.0,2.389958725,0.13223366441192597,2.389958725,0.13223366441192597,True,True,True,True,True,True,True
761,762,16,38,18,23,0.857395164,8.40426060195996,7.205772397116199,,0.6576902,182.0,0.10263190784962281,182,20191230,850.0,1.0,0.85729145,0.02419573880038871,0.85729145,0.02419573880038871,True,True,True,True,True,True,True
762,763,16,38,19,24,0.432861935,13.831674138287802,5.987205231788716,,0.3320395,182.0,0.10866177066282776,182,20191230,900.0,1.0,0.432750781,0.051370906711303864,0.432750781,0.051370906711303864,True,True,True,True,True,True,True
763,764,16,38,20,25,0.278692979,19.6035381584003,5.463368448304754,,0.2137796,182.0,0.09743679939526503,182,20191230,950.0,1.0,0.278628847,0.04603399876969273,0.278628847,0.04603399876969273,True,True,True,True,True,True,True
764,765,16,38,21,26,0.196774172,25.231689028831397,4.964944716809782,,0.1509414,182.0,0.1063326562493789,182,20191230,1000.0,1.0,0.196774123,4.980329654622741e-05,0.196774123,4.980329654622741e-05,True,True,True,True,True,True,True
765,766,16,38,22,27,0.150502125,30.159289474462,4.539037154396664,,0.1154471,182.0,0.10810145945632241,182,20191230,1050.0,1.0,0.150488825,0.017675731071717615,0.150488825,0.017675731071717615,True,True,True,True,True,True,True
766,767,16,38,23,28,0.125852608,33.8325362694285,4.257912924762167,,0.0965389,182.0,0.1078321795669932,182,20191230,1100.0,1.0,0.125834681,0.028492939875614916,0.125834681,0.028492939875614916,True,True,True,True,True,True,True
767,768,16,38,24,29,0.115540509,35.797765332731,4.136092027606294,,0.0886287,182.0,0.09737252154211896,182,20191230,1150.0,1.0,0.115543702,0.005526913098212066,0.115543702,0.005526913098212066,True,True,True,True,True,True,True
768,769,16,38,25,30,0.116643068,35.797765332731,4.175561175953784,,0.0881999,189.0,0.029478491472212556,189,20191230,1200.0,1.0,0.11664807299999999,0.00858136764933173,0.11664807299999999,0.00858136764933173,True,True,True,True,True,True,True
769,770,16,38,26,31,0.129548541,33.8325362694285,4.382955712034045,,0.0979585,189.0,0.0,189,20191230,1250.0,1.0,0.12951123650000002,0.05760812885141089,0.12951123650000002,0.05760812885141089,True,True,True,True,True,True,True
770,771,16,38,27,32,0.152337452,30.159289474462,4.594389312669961,,0.1151904,189.0,0.031947106703336385,189,20191230,1300.0,1.0,0.1522854835,0.06825141675437396,0.1522854835,0.06825141675437396,True,True,True,True,True,True,True
771,772,16,38,28,33,0.196955083,25.231689028831397,4.969509406903677,,0.1489281,189.0,0.03491617767231301,189,20191230,1350.0,1.0,0.1968980775,0.05790356180597914,0.1968980775,0.05790356180597914,True,True,True,True,True,True,True
772,773,16,38,29,34,0.281835487,19.6035381584003,5.524972723795832,,0.2131107,189.0,0.0244004641719069,189,20191230,1400.0,1.0,0.281896062,0.04297683307119569,0.281896062,0.04297683307119569,True,True,True,True,True,True,True
773,774,16,38,30,35,0.470651,13.831674138287802,6.509891264859292,,0.3558841,189.0,0.0,189,20191230,1450.0,1.0,0.4708057355,0.06573220686688207,0.4708057355,0.06573220686688207,True,True,True,True,True,True,True
774,775,16,38,31,36,0.881240242,8.40426060195996,7.40617264670226,,0.6663523,189.0,0.02210542381259883,189,20191230,1500.0,1.0,0.881257985,0.004026743655551558,0.881257985,0.004026743655551558,True,True,True,True,True,True,True
775,776,16,38,32,37,2.44236956,3.7037723916006,9.045980946413705,,1.846804,189.0,0.0,189,20191230,1550.0,1.0,2.44212106,0.02035116146124827,2.44212106,0.02035116146124827,True,True,True,True,True,True,True
776,777,17,20,9,21,2.39392748,4.00666889153481,9.59167476270632,,1.614614,189.0,0.044691796305494684,189,20191230,415.0,2.0,2.394328605,0.033506261351290346,2.394328605,0.033506261351290346,True,True,True,True,True,True,True
777,778,17,20,10,22,0.807842812,9.16297857297023,7.402246376684018,,0.5448598,189.0,0.03823001807070369,189,20191230,474.0,2.0,0.807570396,0.06746557361421593,0.807570396,0.06746557361421593,True,True,True,True,True,True,True
778,779,17,20,11,23,0.434122039,14.1371669411541,6.137255738177211,,0.2927991,189.0,0.043545215815212555,189,20191230,518.0,2.0,0.43399951000000003,0.056465040709382415,0.43399951000000003,0.056465040709382415,True,True,True,True,True,True,True
779,780,17,20,12,24,0.322466089,17.2479596667675,5.561882096972259,,0.2174913,189.0,0.023909002337104978,189,20191230,563.0,2.0,0.322345759,0.07465896270718538,0.322345759,0.07465896270718538,True,True,True,True,True,True,True
780,781,17,20,13,25,0.326322923,17.2479596667675,5.628404614245676,,0.2200926,189.0,0.047298273544862476,189,20191230,609.0,2.0,0.3262921115,0.018885838127291242,0.3262921115,0.018885838127291242,True,True,True,True,True,True,True
781,782,17,20,14,26,0.43374786,14.1371669411541,6.131965907188336,,0.2925467,189.0,0.04358278524420204,189,20191230,656.0,2.0,0.4336093395,0.06389184336283833,0.4336093395,0.06389184336283833,True,True,True,True,True,True,True
