,k,rhoa,r
730,-48.869219055841214,1.0,-0.020462778397529406
731,-76.79448708775051,1.0,-0.013021768071155071
732,-113.09733552923261,1.0,-0.00884194128288307
733,-158.82496193148398,1.0,-0.006296239506932123
734,-215.0245638457016,1.0,-0.00465063145398395
735,-282.74333882308133,1.0,-0.0035367765131532306
736,-363.0284844148207,1.0,-0.0027546047842828027
737,-456.92719817211463,1.0,-0.00218853244893363
738,-565.4866776461632,1.0,-0.0017683882565766135
739,-689.7541203881602,1.0,-0.001449791991727789
740,-830.7767239493037,1.0,-0.00120369284691349
741,-989.6016858807833,1.0,-0.0010105075751866387
742,-1167.2762037338007,1.0,-0.0008566952678391546
743,-1364.8474750595656,1.0,-0.0007326826024690834
744,-1583.3626974092565,1.0,-0.0006315672344916479
745,-1823.86906833408,1.0,-0.000548284971417054
746,-2087.4137853852153,1.0,-0.0004790617016144013
747,-2375.044046113875,1.0,-0.00042104482299443365
748,-2687.807048071285,1.0,-0.000372050516318714
749,-3026.7499888085767,1.0,-0.00033038738042372347
750,-3392.9200658769864,1.0,-0.00029473137609610164
751,-3787.3644768276736,1.0,-0.00026403585029070344
752,-4211.130419211901,1.0,-0.000237465929679553
753,-4665.265090580819,1.0,-0.00021435009170625745
754,-5150.815688485627,1.0,-0.00019414400756669406
755,-5668.829410477594,1.0,-0.00017640326204766688
756,-6220.353454107875,1.0,-0.00016076256877969007
757,-6806.435016927535,1.0,-0.00014691978950992848
758,-7428.121296487948,1.0,-0.00013462354208900774
759,-8086.459490339976,1.0,-0.00012366351444591944
760,-8782.496796035577,1.0,-0.00011386283687019395
761,-9517.28041112493,1.0,-0.00010507203284996006
762,-10291.857533160337,1.0,-9.716418992179038e-05
763,-11107.275359691725,1.0,-9.003108031596999e-05
764,-11964.581088271543,1.0,-8.358002613064863e-05
765,-12864.821916449962,1.0,-7.773135193743508e-05
766,-13809.045041779282,1.0,-7.241630373240864e-05
767,-14798.297661809585,1.0,-6.757534027584337e-05
768,-15833.626974093131,1.0,-6.315672344916253e-05
769,-16916.080176179392,1.0,-5.9115349985640504e-05
770,-18046.704465621136,1.0,-5.541177902619251e-05
771,-198.68450836216527,1.0,-0.005033105037948828
772,-174.55587118795552,1.0,-0.005728824777960266
773,-151.3501572596041,1.0,-0.006607194984837347
774,2.5132741228718345,1.0,0.3978873577297384
775,-15.70796326794897,1.0,-0.06366197723675812
776,-4.886921905584123,1.0,-0.204627783975294
777,-13.962634015954636,1.0,-0.0716197243913529
778,-28.274333882308145,1.0,-0.03536776513153229
779,-48.869219055841214,1.0,-0.020462778397529406
780,-76.79448708775051,1.0,-0.013021768071155071
781,-113.09733552923261,1.0,-0.00884194128288307
782,-158.82496193148398,1.0,-0.006296239506932123
783,-215.0245638457016,1.0,-0.00465063145398395
784,-282.74333882308133,1.0,-0.0035367765131532306
785,-363.0284844148207,1.0,-0.0027546047842828027
786,-456.92719817211463,1.0,-0.00218853244893363
787,-565.4866776461632,1.0,-0.0017683882565766135
788,-689.7541203881602,1.0,-0.001449791991727789
789,-830.7767239493037,1.0,-0.00120369284691349
790,-989.6016858807833,1.0,-0.0010105075751866387
791,-1167.2762037338007,1.0,-0.0008566952678391546
792,-1364.8474750595656,1.0,-0.0007326826024690834
793,-1583.3626974092565,1.0,-0.0006315672344916479
794,-1823.86906833408,1.0,-0.000548284971417054
795,-2087.4137853852153,1.0,-0.0004790617016144013
796,-2375.044046113875,1.0,-0.00042104482299443365
797,-2687.807048071285,1.0,-0.000372050516318714
798,-3026.7499888085767,1.0,-0.00033038738042372347
799,-3392.9200658769864,1.0,-0.00029473137609610164
800,-3787.3644768276736,1.0,-0.00026403585029070344
801,-4211.130419211901,1.0,-0.000237465929679553
802,-4665.265090580819,1.0,-0.00021435009170625745
803,-5150.815688485627,1.0,-0.00019414400756669406
804,-5668.829410477594,1.0,-0.00017640326204766688
805,-6220.353454107875,1.0,-0.00016076256877969007
806,-6806.435016927535,1.0,-0.00014691978950992848
